name	count	percent_male	percent_female
nikoloz	57	100	0
nikkolai	10	100	0
nikholas	143	100	0
nihaan	5	100	0
nidish	5	100	0
nicolaas	382	100	0
nickai	12	100	0
nic	77	100	0
nial	96	100	0
ngun	32	15.625	84.375
nezar	150	100	0
neyo	50	100	0
nevon	54	100	0
ness	16	100	0
nemo	40	100	0
nekko	34	100	0
neimar	45	100	0
neftaly	523	67.49521988527725	32.504780114722756
neeson	11	100	0
neer	35	100	0
neemias	5	100	0
neamiah	80	100	0
nazire	70	100	0
nazih	10	100	0
nayson	54	100	0
naven	83	100	0
navarro	166	100	0
nathnael	48	100	0
nathanim	17	100	0
natas	26	100	0
nasri	49	100	0
nashoba	31	100	0
nashaun	278	100	0
narvell	48	45.83333333333333	54.166666666666664
naron	60	100	0
narain	27	100	0
naqeeb	5	100	0
naomi	149371	0.1787495564734788	99.82125044352652
namari	83	68.67469879518072	31.32530120481928
nakhi	115	100	0
nakari	120	40.833333333333336	59.166666666666664
najm	33	100	0
naitik	39	100	0
nahiem	75	100	0
naftuly	17	100	0
naethan	82	100	0
nachshon	5	100	0
nacari	15	100	0
naazir	16	100	0
myster	10	100	0
mykeal	136	90.44117647058823	9.558823529411764
mycheal	101	100	0
mustaqeem	5	100	0
musashi	15	100	0
murdock	274	100	0
mukunda	5	100	0
muizz	15	100	0
muiz	26	100	0
mubarik	5	100	0
muadh	92	100	0
moziah	29	100	0
mozes	55	100	0
moxley	22	72.72727272727273	27.27272727272727
mosie	112	57.14285714285714	42.857142857142854
mortimer	1919	100	0
moritz	121	100	0
moon	106	24.528301886792452	75.47169811320755
monterius	96	100	0
montay	261	100	0
montavius	354	100	0
monico	767	97.78357235984355	2.216427640156454
momen	65	100	0
mohmed	89	100	0
mohamedali	48	100	0
mohamadou	64	100	0
moe	726	92.28650137741047	7.7134986225895315
modou	55	100	0
mkai	31	100	0
miykael	30	100	0
mithun	22	100	0
missiah	5	100	0
miraan	5	100	0
minor	1739	99.30994824611847	0.690051753881541
milio	5	100	0
mikiyas	22	100	0
miiking	5	100	0
mihailo	56	100	0
migel	1705	100	0
mieko	280	1.7857142857142856	98.21428571428571
meyson	10	100	0
messias	10	100	0
messai	12	100	0
mesai	5	100	0
merrit	218	70.64220183486239	29.357798165137616
meron	382	5.7591623036649215	94.24083769633508
melvyn	4314	99.76819656930923	0.23180343069077425
melton	4229	100	0
melquan	259	100	0
melissa	753251	0.3313636490359787	99.66863635096402
melchor	850	100	0
mekel	144	88.88888888888889	11.11111111111111
mekael	32	100	0
meilech	137	100	0
mehan	27	18.51851851851852	81.48148148148148
meba	30	70	30
